HASH CODE: Harp Knife Bow Claw Axe 
CAREER DAY SPOILER LOG
-----STARTING JOB, WEAPON, MAGIC-----
Starting job:     Trainer Job Crystal
Shop: Carwen Inn (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Potion            ->  T3 Dancer (Crystal)           
Shop Item 2: Antidote          ->  T1 Pray (Ability)             
Shop Item 3: Eyedrop           ->  T1 Red Lv.1 (Ability)         
Shop Item 4: Maiden's Kiss     ->  T1 Equip Harps (Ability)      
Shop Item 5: LuckMallet        ->     None                       
Shop Item 6: Soft              ->     None                       
Shop Item 7: Phoenix Down      ->     None                       
Shop Item 8: Tent              ->     None                       

Shop: Carwen Magic (Tier 1)
Shop Type: Item
Shop Item 1: War Hammer        ->  T3 Drain Sword                
Shop Item 2: Venom Axe         ->  T3 RisingSun                  
Shop Item 3: Earth Hammer      ->  T1 Leather Shield             
Shop Item 4: Thor Hammer       ->  T1 Iron Shield                
Shop Item 5: Epee Sword        ->  T1 Plumed Hat                 
Shop Item 6: Defender Sword    ->  T1 CopperPlt                  
Shop Item 7: Excalibur         ->  T8 Genji Shield               
Shop Item 8: Ragnarok          ->  T1 Power Drink                

Shop: Worus Weapon (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Battle Axe        ->  T1 Mantra (Ability)           
Shop Item 2: RegalCut          ->  T1 Aim (Ability)              
Shop Item 3: Dagger            ->  T3 Black Lv.3 (Ability)       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Worus Armor (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Iron Shield       ->  T8 MgcSwrd Lv.6 (Ability)     
Shop Item 2: Iron Helm         ->  T3 Red Lv.3 (Ability)         
Shop Item 3: Iron Armor        ->  T3 Equip Spears (Ability)     
Shop Item 4: Training Suit     ->  T2 Barrier (Ability)          
Shop Item 5: Cotton Robe       ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Worus Magic (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Wizard Rod        ->  T4 Ninja (Crystal)            
Shop Item 2: Staff             ->  T1 Observe (Ability)          
Shop Item 3: Mythril Staff     ->  T1 Analyze (Ability)          
Shop Item 4: Power Staff       ->  T1 HP +30% (Ability)          
Shop Item 5: Dream Harp        ->     None                       
Shop Item 6: Lamia's Harp      ->     None                       
Shop Item 7: Apollo's Harp     ->     None                       
Shop Item 8: None              ->     None                       

Shop: Karnak Weapon 1 (Tier 1)
Shop Type: Item
Shop Item 1: Mythril Knife     ->  T7 Assassin                   
Shop Item 2: Mythril Sword     ->  T3 War Hammer                 
Shop Item 3: Mythril Hammer    ->  T1 Whip                       
Shop Item 4: Fire Rod          ->  T1 Soot                       
Shop Item 5: Ice Rod           ->  T1 Leather Armor              
Shop Item 6: Thunder Rod       ->  T3 Silver Plate               
Shop Item 7: Flail             ->  T1 Mythril Glove              
Shop Item 8: None              ->  T1 Cursed Shield              

Shop: Karnak Weapon 2 (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Mythril Spear     ->  T2 DrgnSwd (Ability)          
Shop Item 2: Kunai             ->  T1 SwdSlap (Ability)          
Shop Item 3: Whip              ->  T2 MgcSwrd Lv.2 (Ability)     
Shop Item 4: Giyaman           ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Karnak Armor (Tier 1)
Shop Type: Magic
Shop Item 1: Mythril Shield    ->  T1 Size (White)               
Shop Item 2: Mythril Helm      ->  T1 Bolt (Black)               
Shop Item 3: Plumed Hat        ->  T1 Demi (Time)                
Shop Item 4: Mythril Armor     ->  T1 Chocob (Esper)             
Shop Item 5: Silver Plate      ->  T2 GuardOff (Blue)            
Shop Item 6: Silk robe         ->     None                       
Shop Item 7: Mythril Glove     ->     None                       
Shop Item 8: Silver Armlet     ->     None                       

Shop: Common World 1 Inn (Tier 1)
Shop Type: Item
Shop Item 1: Potion            ->  T1 Mythril Sword              
Shop Item 2: Antidote          ->  T3 AntiMagic Bow              
Shop Item 3: Eyedrop           ->  T6 Crystal Shield             
Shop Item 4: Maiden's Kiss     ->  T1 Leather Cap                
Shop Item 5: LuckMallet        ->  T2 Bronze Helm                
Shop Item 6: Soft              ->  T6 DarkSuit                   
Shop Item 7: Phoenix Down      ->  T1 Revivify                   
Shop Item 8: Tent              ->  T1 Tent                       

Shop: Karnak Magic 1 (Tier 1)
Shop Type: Magic
Shop Item 1: Air Blade         ->  T1 Fire (Black)               
Shop Item 2: Kotetsu           ->  T3 Bio (Black)                
Shop Item 3: Bizen             ->  T1 Time Slip (Blue)           
Shop Item 4: Rune Axe          ->  T1 GblinPnch (Blue)           
Shop Item 5: Thor Hammer       ->  T1 Hammer (Blue)              
Shop Item 6: War Hammer        ->     None                       
Shop Item 7: Venom Axe         ->     None                       
Shop Item 8: Earth Hammer      ->     None                       

Shop: Karnak Magic 2 (Tier 1)
Shop Type: Item
Shop Item 1: Spear             ->  T4 Orialcon                   
Shop Item 2: Mythril Spear     ->  T3 Chain Whip                 
Shop Item 3: Trident           ->  T5 DoomCut                    
Shop Item 4: Excalibur         ->  T2 Mythril Helm               
Shop Item 5: Ragnarok          ->  T3 CornaJar                   
Shop Item 6: Epee Sword        ->  T1 Potion                     
Shop Item 7: Slumber Sword     ->  T1 Elixir                     
Shop Item 8: Defender Sword    ->     None                       

Shop: Karnak Magic 3 (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Staff of Light    ->  T1 Berserker (Crystal)        
Shop Item 2: Sage's Staff      ->  T1 Geomancer (Crystal)        
Shop Item 3: Power Staff       ->  T4 Slash (Ability)            
Shop Item 4: Mythril Staff     ->  T1 Evade (Ability)            
Shop Item 5: Wizard Rod        ->     None                       
Shop Item 6: Staff             ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Crescent Weapon (Tier 1)
Shop Type: Magic
Shop Item 1: Fire Bow          ->  T1 Ice (Sword)                
Shop Item 2: Ice Bow           ->  T1 Armor (White)              
Shop Item 3: Thunder Bow       ->  T2 Bolt2 (Black)              
Shop Item 4: Silver Harp       ->  T1 Regen (Time)               
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Crescent Armor (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Plumed Hat        ->  T1 Steal (Ability)            
Shop Item 2: Bard's Surplice   ->  T1 Caution (Ability)          
Shop Item 3: None              ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Istory Relic (Tier 1)
Shop Type: Item
Shop Item 1: Flame Ring        ->  T1 Staff                      
Shop Item 2: Coral Ring        ->  T1 Cotton Robe                
Shop Item 3: Angel Ring        ->  T1 Ether                      
Shop Item 4: None              ->  T1 Phoenix Down               
Shop Item 5: None              ->  T1 LuckMallet                 
Shop Item 6: None              ->  T1 Water Scroll               
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Jacole Weapon (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Ogre Killer       ->  T9 Mimic (Crystal)            
Shop Item 2: Coral Sword       ->  T3 Summon Lv.2 (Ability)      
Shop Item 3: Mage Masher       ->  T6 Blue (Ability)             
Shop Item 4: Trident           ->  T4 Equip Rods (Ability)       
Shop Item 5: Katana            ->     None                       
Shop Item 6: Silver Bow        ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Jacole Armor (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: GrnBeret          ->  T1 Escape (Ability)           
Shop Item 2: Stealth Suit      ->  T1 Smoke (Ability)            
Shop Item 3: Bard's Surplice   ->  T1 White Lv.1 (Ability)       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Common World 2 Inn 1 (Tier 1)
Shop Type: Magic
Shop Item 1: Ether             ->  T2 Charm (White)              
Shop Item 2: Revivify          ->  T1 Sleep (Black)              
Shop Item 3: Cabin             ->  T1 Void (Time)                
Shop Item 4: Giant Drink       ->  T1 Remora (Esper)             
Shop Item 5: Power Drink       ->  T1 Charm (Song)               
Shop Item 6: Speed Drink       ->     None                       
Shop Item 7: Protect Drink     ->     None                       
Shop Item 8: Hero Drink        ->     None                       

Shop: Lix Guild (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: Kunai             ->  T5 Mimic (Ability)            
Shop Item 2: Shuriken          ->  T1 MgcSwrd Lv.1 (Ability)     
Shop Item 3: Flame Scroll      ->  T1 HP +20% (Ability)          
Shop Item 4: Water Scroll      ->  T1 MP +10% (Ability)          
Shop Item 5: Thunder Scroll    ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Lix Armor (Tier 1)
Shop Type: Ability/Crystal
Shop Item 1: GrnBeret          ->  T1 Tame (Ability)             
Shop Item 2: Stealth Suit      ->  T1 HP +10% (Ability)          
Shop Item 3: None              ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Lix Magic (Tier 1)
Shop Type: Magic
Shop Item 1: Heavy Spear       ->  T1 Mute (White)               
Shop Item 2: None              ->     None                       
Shop Item 3: None              ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Rugor Weapon (Tier 3)
Shop Type: Magic
Shop Item 1: Orialcon          ->  T2 Ice2 (Black)               
Shop Item 2: War Hammer        ->  T3 Slow2 (Time)               
Shop Item 3: Katana            ->  T1 Reset (Time)               
Shop Item 4: Slumber Sword     ->  T3 DethClaw (Blue)            
Shop Item 5: Wind Spear        ->  T5 Blowfish (Blue)            
Shop Item 6: Darkness Bow      ->     None                       
Shop Item 7: Dream Harp        ->     None                       
Shop Item 8: Chain Whip        ->     None                       

Shop: Rugor Armor (Tier 3)
Shop Type: Item
Shop Item 1: Golden Shield     ->  T2 Mythril Hammer             
Shop Item 2: Golden Helm       ->  T3 Excailbur                  
Shop Item 3: GrnBeret          ->  T2 Gale Bow                   
Shop Item 4: Tricorn Hat       ->  T2 Tricorn Hat                
Shop Item 5: Golden Armor      ->  T5 Rainbow Dress              
Shop Item 6: Stealth Suit      ->  T1 Potion                     
Shop Item 7: Gaia Gear         ->  T1 Tent                       
Shop Item 8: None              ->  T2 Ramuh                      

Shop: Common World 2 Inn 2 (Tier 3)
Shop Type: Magic
Shop Item 1: HiPotion          ->  T2 Mute (Sword)               
Shop Item 2: Potion            ->  T2 Bolt2 (Sword)              
Shop Item 3: Phoenix Down      ->  T2 Drain (Black)              
Shop Item 4: Soft              ->  T2 Shiva (Esper)              
Shop Item 5: Maiden's Kiss     ->  T2 Exploder (Blue)            
Shop Item 6: LuckMallet        ->     None                       
Shop Item 7: Eyedrop           ->     None                       
Shop Item 8: Antidote          ->     None                       

Shop: Bal/Kelb Weapon (Tier 3)
Shop Type: Item
Shop Item 1: Orialcon          ->  T2 Dagger                     
Shop Item 2: War Hammer        ->  T1 RegalCut                   
Shop Item 3: Katana            ->  T1 Silver Harp                
Shop Item 4: Slumber Sword     ->  T2 Dream Harp                 
Shop Item 5: Wind Spear        ->  T3 Lamia's Harp               
Shop Item 6: Darkness Bow      ->  T3 Shuriken                   
Shop Item 7: Dream Harp        ->  T2 Silver Bow                 
Shop Item 8: Chain Whip        ->  T1 Cabin                      

Shop: Bal/Kelb Armor (Tier 3)
Shop Type: Magic
Shop Item 1: Golden Shield     ->  T1 Scan (White)               
Shop Item 2: Golden Helm       ->  T6 Holy (White)               
Shop Item 3: GrnBeret          ->  T3 Old (Time)                 
Shop Item 4: Tricorn Hat       ->  T2 AquaRake (Blue)            
Shop Item 5: Golden Armor      ->  T1 FrogSong (Blue)            
Shop Item 6: Stealth Suit      ->     None                       
Shop Item 7: Gaia Gear         ->     None                       
Shop Item 8: Gauntlets         ->     None                       

Shop: Kelb Weapon (Tier 3)
Shop Type: Magic
Shop Item 1: Kodachi           ->  T1 Venom (Sword)              
Shop Item 2: Killer Bow        ->  T2 Ice2 (Sword)               
Shop Item 3: Venom Rod         ->  T1 Haste (Time)               
Shop Item 4: Shuriken          ->  T1 Vitality (Song)            
Shop Item 5: Flame Scroll      ->  T1 Roulette (Blue)            
Shop Item 6: Water Scroll      ->     None                       
Shop Item 7: Thunder Scroll    ->     None                       
Shop Item 8: None              ->     None                       

Shop: Kelb Armor (Tier 3)
Shop Type: Ability/Crystal
Shop Item 1: Bandana           ->  T1 Monk (Crystal)             
Shop Item 2: Strength          ->  T8 Black Lv.6 (Ability)       
Shop Item 3: Power Wrist       ->  T1 Preemptive (Ability)       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Common World 2 Magic 1 (Tier 3)
Shop Type: Ability/Crystal
Shop Item 1: Wind Spear        ->  T1 Thief (Crystal)            
Shop Item 2: Partisan          ->  T1 Animals (Ability)          
Shop Item 3: Heavy Spear       ->  T2 Terrain (Ability)          
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Common World 2 Magic 2 (Tier 3)
Shop Type: Item
Shop Item 1: Forged            ->  T3 Wonder Wand                
Shop Item 2: Murasume          ->  T5 DiamndPlt                  
Shop Item 3: Masamune          ->  T2 Tiger Mask                 
Shop Item 4: None              ->  T1 Cabin                      
Shop Item 5: None              ->  T1 Giant Drink                
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Common World 2 Magic 3 (Tier 3)
Shop Type: Item
Shop Item 1: Fire Bow          ->  T1 Bronze Shield              
Shop Item 2: Ice Bow           ->  T2 Mythril Shield             
Shop Item 3: Thunder Bow       ->  T1 Soft                       
Shop Item 4: None              ->  T1 Cabin                      
Shop Item 5: None              ->  T1 Speed Drink                
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Surgate Weapon (Tier 3)
Shop Type: Item
Shop Item 1: Epee Sword        ->  T2 Elven Bow                  
Shop Item 2: Heavy Spear       ->  T1 Giyaman                    
Shop Item 3: Bizen             ->  T1 Cursed Ring                
Shop Item 4: Venom Axe         ->  T1 Leather Shoes              
Shop Item 5: None              ->  T1 Ether                      
Shop Item 6: None              ->  T1 Hero Drink                 
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Surgate Armor (Tier 3)
Shop Type: Magic
Shop Item 1: Golden Shield     ->  T2 Cure2 (White)              
Shop Item 2: Golden Helm       ->  T4 Life2 (White)              
Shop Item 3: Bandana           ->  T1 Venom (Black)              
Shop Item 4: Tricorn Hat       ->  T2 Ramuh (Esper)              
Shop Item 5: Golden Armor      ->  T3 Speed (Song)               
Shop Item 6: Strength          ->     None                       
Shop Item 7: Gaia Gear         ->     None                       
Shop Item 8: Gauntlets         ->     None                       

Shop: Mua Weapon (Tier 3)
Shop Type: Ability/Crystal
Shop Item 1: Air Knife         ->  T2 Dragoon (Crystal)          
Shop Item 2: Elven Bow         ->  T3 Mug (Ability)              
Shop Item 3: None              ->     None                       
Shop Item 4: None              ->     None                       
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mua Armor (Tier 3)
Shop Type: Item
Shop Item 1: Diamond Shield    ->  T1 Knife                      
Shop Item 2: Diamond Helm      ->  T7 Dragoon Lance              
Shop Item 3: Tiger Mask        ->  T1 Battle Axe                 
Shop Item 4: Magus             ->  T3 Ice Rod                    
Shop Item 5: Diamond Armor     ->  T5 Pinwheel                   
Shop Item 6: DiamndPlt         ->  T2 GrnBeret                   
Shop Item 7: Lumina Robe       ->  T3 Mythril Armor              
Shop Item 8: Diamond Armlet    ->  T1 Maiden's Kiss              

Shop: Mua Magic 1 (Tier 3)
Shop Type: Ability/Crystal
Shop Item 1: DblLance          ->  T3 MgcSwrd Lv.3 (Ability)     
Shop Item 2: Holy Lance        ->  T1 Black Lv.1 (Ability)       
Shop Item 3: Dragoon Lance     ->  T2 Agility (Ability)          
Shop Item 4: Wind Spear        ->  T2 DmgFloor (Ability)         
Shop Item 5: Partisan          ->     None                       
Shop Item 6: Heavy Spear       ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mua Magic 2 (Tier 3)
Shop Type: Item
Shop Item 1: Tempest           ->  T1 Katana                     
Shop Item 2: Rod               ->  T3 Flametongue                
Shop Item 3: Fire Rod          ->  T2 Iron Helm                  
Shop Item 4: Forged            ->  T3 Giant's Gloves             
Shop Item 5: Murasume          ->  T1 HiPotion                   
Shop Item 6: Masamune          ->  T4 Shoat                      
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mua Magic 3 (Tier 3)
Shop Type: Ability/Crystal
Shop Item 1: Darkness Bow      ->  T2 Hunter (Crystal)           
Shop Item 2: Killer Bow        ->  T2 RedMage (Crystal)          
Shop Item 3: Elven Bow         ->  T4 MgcSwrd Lv.4 (Ability)     
Shop Item 4: Fire Bow          ->  T1 MP +30% (Ability)          
Shop Item 5: Ice Bow           ->     None                       
Shop Item 6: Thunder Bow       ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Lix Inn (Tier 3)
Shop Type: Magic
Shop Item 1: Ether             ->  T1 Cure (White)               
Shop Item 2: Potion            ->  T1 Ice (Black)                
Shop Item 3: Antidote          ->  T1 TinySong (Blue)            
Shop Item 4: Eyedrop           ->  T1 Aero (Blue)                
Shop Item 5: LuckMallet        ->  T2 Emission (Blue)            
Shop Item 6: Maiden's Kiss     ->     None                       
Shop Item 7: Soft              ->     None                       
Shop Item 8: Tent              ->     None                       

Shop: Dwarf Weapon (Tier 6)
Shop Type: Magic
Shop Item 1: Earth Hammer      ->  T6 Doom (Black)               
Shop Item 2: Morning Star      ->  T7 Syldra (Esper)             
Shop Item 3: AntiMagic Bow     ->  T4 L4 Qrter (Blue)            
Shop Item 4: Forged            ->  T6 L2 Old (Blue)              
Shop Item 5: None              ->     None                       
Shop Item 6: None              ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Dwarf Armor (Tier 6)
Shop Type: Item
Shop Item 1: Crystal Shield    ->  T4 Lillith Rod                
Shop Item 2: Crystal Helm      ->  T5 BeastKiller                
Shop Item 3: DarkHood          ->  T4 Diamond Helm               
Shop Item 4: Circlet           ->  T4 Lamia's Tiara              
Shop Item 5: Crystal Armor     ->  T4 Golden Armor               
Shop Item 6: DarkSuit          ->  T6 Crystal Armor              
Shop Item 7: Black Robe        ->  T5 Golem                      
Shop Item 8: White Robe        ->     None                       

Shop: Mirage Weapon (Tier 5)
Shop Type: Magic
Shop Item 1: Flametongue       ->  T3 Drain (Sword)              
Shop Item 2: IceBrand          ->  T3 Dispel (White)             
Shop Item 3: Earth Hammer      ->  T4 Ice3 (Black)               
Shop Item 4: Morning Star      ->  T4 Qrter (Time)               
Shop Item 5: AntiMagic Bow     ->  T4 Condemn (Blue)             
Shop Item 6: Forged            ->     None                       
Shop Item 7: Partisan          ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mirage Guild (Tier 5)
Shop Type: Item
Shop Item 1: Pinwheel          ->  T4 Kodachi                    
Shop Item 2: Shuriken          ->  T5 DblLance                   
Shop Item 3: DblLance          ->  T3 Forged                     
Shop Item 4: Full Moon         ->  T7 Aegis Shield               
Shop Item 5: Flame Scroll      ->  T4 Circlet                    
Shop Item 6: Water Scroll      ->  T3 Gaia Gear                  
Shop Item 7: Thunder Scroll    ->  T4 Bard's Surplice            
Shop Item 8: None              ->  T5 Flame Shield               

Shop: Mirage Armor (Tier 5)
Shop Type: Magic
Shop Item 1: Crystal Shield    ->  T4 Cure3 (White)              
Shop Item 2: Crystal Helm      ->  T4 Break (Black)              
Shop Item 3: DarkHood          ->  T4 Fire3 (Black)              
Shop Item 4: Circlet           ->  T4 Bolt3 (Black)              
Shop Item 5: Crystal Armor     ->  T3 Titan (Esper)              
Shop Item 6: DarkSuit          ->     None                       
Shop Item 7: Black Robe        ->     None                       
Shop Item 8: White Robe        ->     None                       

Shop: Mirage Relic (Tier 5)
Shop Type: Magic
Shop Item 1: Running Shoes     ->  T3 Psych (Sword)              
Shop Item 2: Angel Ring        ->  T3 Wall (White)               
Shop Item 3: Flame Ring        ->  T3 Bersk (White)              
Shop Item 4: Coral Ring        ->  T5 Hast2 (Time)               
Shop Item 5: Lamia's Tiara     ->  T5 Hero (Song)                
Shop Item 6: Angel Gwn         ->     None                       
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mirage Magic 1 (Tier 5)
Shop Type: Item
Shop Item 1: Battle Axe        ->  T4 Guardian                   
Shop Item 2: Ogre Killer       ->  T3 Trident                    
Shop Item 3: Thunder Rod       ->  T4 Rune Chime                 
Shop Item 4: Venom Rod         ->  T4 DarkHood                   
Shop Item 5: Artemis Bow       ->  T4 Stealth Suit               
Shop Item 6: Silver Harp       ->  T1 LuckMallet                 
Shop Item 7: None              ->     None                       
Shop Item 8: None              ->     None                       

Shop: Mirage Magic 2 (Tier 5)
Shop Type: Magic
Shop Item 1: Javelin           ->  T3 Comet (Time)               
Shop Item 2: Katana            ->  T4 Xzone (Time)               
Shop Item 3: Lillith Rod       ->  T5 Crbnkl (Esper)             
Shop Item 4: Healing Staff     ->  T7 Odin (Esper)               
Shop Item 5: Judgement Staff   ->  T4 L3 Flare (Blue)            
Shop Item 6: Dream Harp        ->     None                       
Shop Item 7: Lamia's Harp      ->     None                       
Shop Item 8: Apollo's Harp     ->     None                       

Shop: Mirage Inn 1 (Tier 5)
Shop Type: Magic
Shop Item 1: Potion            ->  T4 Break (Sword)              
Shop Item 2: HiPotion          ->  T5 Holy (Sword)               
Shop Item 3: Phoenix Down      ->  T7 Levia (Esper)              
Shop Item 4: Maiden's Kiss     ->  T3 Love (Song)                
Shop Item 5: Antidote          ->  T7 BigGuard (Blue)            
Shop Item 6: Eyedrop           ->     None                       
Shop Item 7: Soft              ->     None                       
Shop Item 8: LuckMallet        ->     None                       

Shop: Mirage Inn 2 (Tier 5)
Shop Type: Item
Shop Item 1: Elixir            ->  T3 Mage Masher                
Shop Item 2: Ether             ->  T6 Hardened Dagger            
Shop Item 3: Revivify          ->  T3 Slumber Sword              
Shop Item 4: Giant Drink       ->  T3 Javelin                    
Shop Item 5: Power Drink       ->  T3 Venom Rod                  
Shop Item 6: Speed Drink       ->  T3 Power Staff                
Shop Item 7: Protect Drink     ->  T3 Killer Bow                 
Shop Item 8: Hero Drink        ->  T3 Thief Knife                

-----*****-----

-----SUPERBOSSES:-----
-----------OMEGA-----------
Absorbs ['earth', 'wind', 'ice'] Immunities ['holy', 'fire', 'lightning', 'poison'] Weaknesses: ['water']
Status afflictions (weaknesses) ['sleep']
Enemy type - heavy and creature
Stat num_phys_power changed to 119
Stat num_phys_def changed to 192
Stat num_evade changed to 98
Stat num_mag_power changed to 195
Stat num_mag_def changed to 149
Stat num_level changed to 124
Stat num_mag_evade changed to 32
AOE skills: ['SurgeBeam', 'Maelstrom', 'AquaRake', 'Quake', 'BreathWing', 'ZombieBreath']
Single target skills: ['Jump', 'Fight', 'Quarter', 'Comet', 'Hug', 'MustardBomb', 'Blaster', 'RainbowWind', 'Missile', 'Doom', 'Aero3', 'StomachAcid', 'Missile', 'Tailscrew', 'Doom']
Status skills: ['Break', 'DarkShock']


-----------SHINRYUU-----------
Absorbs ['poison', 'holy', 'water'] Immunities ['ice', 'fire', 'lightning', 'earth'] Weaknesses: ['wind']
Status afflictions (weaknesses) ['slow']
Enemy type - heavy
Stat num_phys_power changed to 169
Stat num_phys_def changed to 60
Stat num_evade changed to 14
Stat num_mag_power changed to 129
Stat num_mag_def changed to 60
Stat num_level changed to 102
Stat num_mag_evade changed to 32
AOE skills: ['Flame', 'TrueEdge', 'L5', 'Maelstrom', 'Maelstrom', 'Maelstrom', 'TidalWave']
Single target skills: ['Bio', 'MustardBomb', 'ReaperSword', 'Emission', 'DanceoftheDead', 'Emission', 'Blaster']
Status skills: ['FrogSong', 'Mute', 'Haste', 'Stop', 'FrogSong', 'Condemn']


-----CODE OF THE VOID-----
AUGWZS

-----FORMATIONS-----
-- List in order of bosses where they appear in power ranking--
  (WingRaptor appears at X location)
Rank 1.0  WingRaptor               >    Rank 22.0 Abductor                 
Rank 2.0  Karlabos                 >    Rank 6.0  LiquiFlame               
Rank 3.0  Siren                    >    Rank 15.0 ArchaeAvis               
Rank 4.0  Magisa                   >    Rank 38.0 Omniscient               
Rank 5.0  Galura                   >    Rank 41.0 Gogo                     
Rank 6.0  LiquiFlame               >    Rank 35.0 Stalker                  
Rank 7.0  Sergeant                 >    Rank 29.0 Antlion                  
Rank 8.0  Ifrit                    >    Rank 18.0 Titan                    
Rank 9.0  Shiva                    >    Rank 5.0  Galura                   
Rank 10.0 Byblos                   >    Rank 21.0 Tyrasaurus               
Rank 11.0 Crayclaw                 >    Rank 17.0 Puroboros                
Rank 12.0 Sandworm                 >    Rank 48.0 Twin Tania               
Rank 13.0 AdamanTiMi               >    Rank 19.0 Gilgamesh                
Rank 14.0 Sol Cannon               >    Rank 33.0 Golem                    
Rank 15.0 ArchaeAvis               >    Rank 36.0 Odin                     
Rank 16.0 Chim.Brain               >    Rank 26.0 Guardian                 
Rank 17.0 Puroboros                >    Rank 32.0 Shoat                    
Rank 18.0 Titan                    >    Rank 13.0 AdamanTiMi               
Rank 19.0 Gilgamesh I              >    Rank 34.0 Merugene                 
Rank 20.0 Gilgamesh II             >    Rank 49.0 Necrofobia               
Rank 21.0 Tyrasaurus               >    Rank 45.0 Apocalypse               
Rank 22.0 Abductor                 >    Rank 25.0 Atmos                    
Rank 23.0 HiryuuPlant              >    Rank 1.0  WingRaptor               
Rank 24.0 Gilgamesh III            >    Rank 28.0 Gilgamesh                
Rank 25.0 Atmos                    >    Rank 11.0 Crayclaw                 
Rank 26.0 Guardian                 >    Rank 46.0 Catastroph               
Rank 27.0 Carbunkle                >    Rank 10.0 Byblos                   
Rank 28.0 Gilgamesh IV             >    Rank 12.0 Sandworm                 
Rank 29.0 Antlion                  >    Rank 23.0 HiryuuPlant              
Rank 30.0 Gargoyle                 >    Rank 4.0  Magisa                   
Rank 31.0 Ramuh                    >    Rank 16.0 Chim.Brain               
Rank 32.0 Shoat                    >    Rank 39.0 Minotauros               
Rank 33.0 Golem                    >    Rank 43.0 Calofisteri              
Rank 34.0 Merugene                 >    Rank 9.0  Shiva                    
Rank 35.0 Stalker                  >    Rank 30.0 Gargoyle                 
Rank 36.0 Odin                     >    Rank 14.0 Sol Cannon               
Rank 37.0 Triton                   >    Rank 47.0 Halicarnaso              
Rank 38.0 Omniscient               >    Rank 7.0  Sergeant                 
